Timestamp | Command | CPU% | MEM% | RSS
2024-10-16 15:06:03 | node | 0.9 | 6.2 | 1009.86
2024-10-16 15:06:04 | node | 1.0 | 6.2 | 1009.88
2024-10-16 15:06:05 | node | 1.6 | 6.2 | 1009.89
2024-10-16 15:06:06 | node | 1.1 | 6.2 | 1009.95
2024-10-16 15:06:07 | node | 1.2 | 6.2 | 1009.97
2024-10-16 15:06:08 | node | 1.3 | 6.2 | 1009.98
2024-10-16 15:06:10 | node | 1.0 | 6.2 | 1009.98
2024-10-16 15:06:11 | node | 1.3 | 6.2 | 1010.02
2024-10-16 15:06:12 | node | 1.2 | 6.2 | 1009.23
2024-10-16 15:06:13 | node | 1.0 | 6.2 | 1009.25
2024-10-16 15:06:14 | node | 1.0 | 6.2 | 1009.27
2024-10-16 15:06:15 | node | 1.0 | 6.2 | 1009.27
2024-10-16 15:06:16 | node | 0.8 | 6.2 | 1009.33
2024-10-16 15:06:17 | node | 1.2 | 6.2 | 1009.34
2024-10-16 15:06:18 | node | 1.0 | 6.2 | 1009.36
2024-10-16 15:06:19 | node | 1.0 | 6.2 | 1009.36
2024-10-16 15:06:20 | node | 1.1 | 6.2 | 1009.36
2024-10-16 15:06:21 | node | 1.3 | 6.2 | 1009.42
2024-10-16 15:06:22 | node | 1.2 | 6.2 | 1009.44
2024-10-16 15:06:23 | node | 0.9 | 6.2 | 1009.44
2024-10-16 15:06:24 | node | 1.2 | 6.2 | 1009.47
2024-10-16 15:06:25 | node | 1.4 | 6.2 | 1009.52
2024-10-16 15:06:26 | node | 1.4 | 6.2 | 1009.56
2024-10-16 15:06:28 | node | 1.2 | 6.2 | 1009.58
2024-10-16 15:06:29 | node | 1.2 | 6.2 | 1009.59
2024-10-16 15:06:30 | node | 1.0 | 6.2 | 1009.59
2024-10-16 15:06:31 | node | 0.7 | 6.2 | 1009.61
2024-10-16 15:06:32 | node | 1.0 | 6.2 | 1009.66
2024-10-16 15:06:33 | node | 0.9 | 6.2 | 1009.67
2024-10-16 15:06:34 | node | 1.0 | 6.2 | 1009.69
2024-10-16 15:06:35 | node | 0.5 | 6.2 | 1009.69
2024-10-16 15:06:36 | node | 0.6 | 6.2 | 1009.70
2024-10-16 15:06:37 | node | 0.9 | 6.2 | 1009.77
2024-10-16 15:06:38 | node | 0.7 | 6.2 | 1009.78
2024-10-16 15:06:39 | node | 1.0 | 6.2 | 1009.78
2024-10-16 15:06:40 | node | 1.0 | 6.2 | 1009.80
2024-10-16 15:06:41 | node | 1.4 | 6.2 | 1009.84
2024-10-16 15:06:42 | node | 1.0 | 6.2 | 1009.86
2024-10-16 15:06:43 | node | 1.0 | 6.2 | 1009.88
2024-10-16 15:06:44 | node | 1.1 | 6.2 | 1009.89
2024-10-16 15:06:45 | node | 1.4 | 6.2 | 1009.91
2024-10-16 15:06:47 | node | 1.9 | 6.2 | 1009.95
2024-10-16 15:06:48 | node | 1.1 | 6.2 | 1009.97
2024-10-16 15:06:49 | node | 1.3 | 6.2 | 1009.98
2024-10-16 15:06:50 | node | 1.0 | 6.2 | 1010.00
2024-10-16 15:06:51 | node | 0.9 | 6.2 | 1010.00
